ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
000538.SZ,20250630,55.8,55.88,55.52,55.79,55.88,-0.09,-0.1611,57964.24,322691.502
000538.SZ,20250701,55.79,55.93,55.62,55.77,55.79,-0.02,-0.0358,42804.17,238615.98
000538.SZ,20250702,55.77,55.95,55.5,55.58,55.77,-0.19,-0.3407,54659.9,303999.342
000538.SZ,20250703,55.63,55.83,55.31,55.82,55.58,0.24,0.4318,49972.88,278179.474
000538.SZ,20250704,55.8,55.91,55.4,55.79,55.82,-0.03,-0.0537,55238.2,307573.917
000538.SZ,20250707,55.82,55.83,55.5,55.62,55.79,-0.17,-0.3047,35635.6,198242.965
000538.SZ,20250708,55.62,56.12,55.61,55.96,55.62,0.34,0.6113,59048.23,330094.112
000538.SZ,20250709,55.9,56.25,55.7,56.04,55.96,0.08,0.143,47334.56,265241.993
000538.SZ,20250710,56.04,56.11,55.86,56.0,56.04,-0.04,-0.0714,48457.1,271267.412
000538.SZ,20250711,56.09,56.45,56.01,56.07,56.0,0.07,0.125,77561.97,436329.507
000538.SZ,20250714,56.07,56.18,55.86,55.99,56.07,-0.08,-0.1427,59025.82,330382.627
000538.SZ,20250715,56.01,56.07,55.38,55.6,55.99,-0.39,-0.6966,69252.86,385598.227
000538.SZ,20250716,55.6,56.04,55.5,55.91,55.6,0.31,0.5576,54925.05,306359.189
000538.SZ,20250717,55.91,56.43,55.91,56.22,55.91,0.31,0.5545,63089.74,354422.082
000538.SZ,20250718,56.22,56.34,55.84,56.23,56.22,0.01,0.0178,69936.86,391802.838
000538.SZ,20250721,56.22,56.24,56.02,56.17,56.23,-0.06,-0.1067,66473.92,373064.572
000538.SZ,20250722,56.17,56.59,56.1,56.51,56.17,0.34,0.6053,131837.56,743233.748
000538.SZ,20250723,56.63,56.94,56.52,56.53,56.51,0.02,0.0354,103662.74,587929.366
000538.SZ,20250724,56.57,57.09,56.35,57.04,56.53,0.51,0.9022,102000.59,578960.179
000538.SZ,20250725,57.1,57.24,56.53,56.53,57.04,-0.51,-0.8941,87961.81,500362.334
000538.SZ,20250728,56.55,56.79,56.34,56.5,56.53,-0.03,-0.0531,76866.67,434704.756
000538.SZ,20250729,56.51,56.55,55.58,55.82,56.5,-0.68,-1.2035,166838.33,932420.096
000538.SZ,20250730,55.84,58.22,55.76,57.42,55.82,1.6,2.8664,280772.52,1607956.184
000538.SZ,20250731,57.24,57.3,55.93,56.08,57.42,-1.34,-2.3337,180768.69,1020791.273
